"congruent","incongruent","negative","neutral","positive"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1267,1299,993,1074,1064
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1004,1465,904,1273,1188
NA,NA,NA,NA,NA
1757,1976,1953,1778,1791
1356,1978,1182,1533,1603
1698,1897,1479,1675,1471
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1287,1720,1493,1467,1509
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-Inf,-Inf,-Inf,-Inf,-Inf
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
-Inf,-Inf,-Inf,-Inf,-Inf
