"congruent","incongruent","negative","neutral","positive"
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1.96078431372549,17.7777777777778,4.6875,0,6.25
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0,5.05050505050505,0,1.5625,20.3125
NA,NA,NA,NA,NA
2.1978021978022,1.98019801980198,1.5625,1.5625,6.25
0,9.19540229885057,4.6875,1.5625,1.5625
3.1578947368421,4.12371134020618,0,1.5625,0
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0,0,1.5625,0,0
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
100,100,100,100,100
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
100,100,100,100,100
