"congruent","incongruent","negative","neutral","positive"
1003,1471,1345,1259,1161
1392,1475,1468,1471,1491
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1410,1498,1247,1377,1418
1355,1466,1415,1313,1368
NA,NA,NA,NA,NA
1418,1492,1500,1375,1283
NA,NA,NA,NA,NA
1149,1421,1372,1243,1177
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1425,1414,1805,1029,1566
1562,1940,1949,1877,1587
1040,1534,1043,1228,1552
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1291,1670,920,-Inf,416
NA,NA,NA,NA,NA
