"congruent","incongruent","negative","neutral","positive"
494,741,560.5,526.5,561
835,1035,1016,946,975.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
778.5,933.5,640,722.5,676.5
598,723,639,554,545
NA,NA,NA,NA,NA
672.5,784.5,763.5,700.5,711
NA,NA,NA,NA,NA
657,814.5,632,645,611.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
513,665.5,478,491,526.5
873,1193.5,947.5,869,873.5
572.5,720,573,605,588.5
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
96.5,113,538.5,NA,232.5
NA,NA,NA,NA,NA
