"congruent","incongruent","negative","neutral","positive"
367,378,358,333,389
518,749,745,725,507
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
416,495,322,344,390
378,423,352,346,397
NA,NA,NA,NA,NA
409,437,385,373,409
NA,NA,NA,NA,NA
385,387,432,410,421
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
332,335,300,312,318
579,559,631,551,531
376,398,382,377,407
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
32,47,157,Inf,87
NA,NA,NA,NA,NA
