"congruent","incongruent","negative","neutral","positive"
98,94,64,64,64
92,100,64,64,64
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
98,94,64,64,64
94,98,64,64,64
NA,NA,NA,NA,NA
100,92,64,64,64
NA,NA,NA,NA,NA
93,99,64,64,64
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
97,95,64,64,64
92,100,64,64,64
94,98,64,64,64
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
99,93,64,64,64
NA,NA,NA,NA,NA
