"congruent","incongruent","negative","neutral","positive"
9.52380952380952,16.0919540229885,3.125,3.125,3.125
1.08695652173914,6.00000000000001,6.25,4.6875,4.6875
16.8316831683168,36.2637362637363,20.3125,29.6875,23.4375
2.04081632653061,7.4468085106383,10.9375,9.375,3.125
1.06382978723404,5.10204081632653,3.125,0,0
NA,NA,NA,NA,NA
0,9.27835051546392,3.125,3.125,1.5625
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1.98019801980198,15.3846153846154,6.25,15.625,4.6875
0,2.04081632653061,0,3.125,0
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2.12765957446809,0,3.125,4.6875,1.5625
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2.94117647058824,17.7777777777778,3.125,1.5625,7.8125
1.13636363636364,0,1.5625,0,1.5625
0,5.3763440860215,3.125,0,0
NA,NA,NA,NA,NA
5.3763440860215,16.1616161616162,0,3.125,14.0625
2.12765957446809,10.2040816326531,7.8125,1.5625,3.125
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
6.06060606060606,12.9032258064516,4.6875,3.125,3.125
0,2.04081632653061,1.5625,1.5625,0
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.2967032967033,20.7920792079208,9.375,15.625,9.375
6.99999999999999,21.7391304347826,14.0625,23.4375,9.375
NA,NA,NA,NA,NA
3,3.26086956521739,0,0,0
NA,NA,NA,NA,NA
1.02040816326531,0,0,0,0
NA,NA,NA,NA,NA
1.06382978723404,7.14285714285714,0,0,3.125
0,0,0,0,0
9.89010989010989,12.8712871287129,7.8125,9.375,9.375
NA,NA,NA,NA,NA
3.06122448979592,5.31914893617022,3.125,3.125,0
NA,NA,NA,NA,NA
2.1505376344086,27.2727272727273,6.25,9.375,3.125
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0,3.19148936170213,0,3.125,0
2.0618556701031,2.10526315789473,1.5625,3.125,1.5625
1.0752688172043,98.989898989899,6.25,4.6875,7.8125
NA,NA,NA,NA,NA
0,4.08163265306123,1.5625,1.5625,1.5625
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
1.12359550561798,3.88349514563107,6.25,6.25,7.8125
0,12.2448979591837,1.5625,1.5625,4.6875
0,2.17391304347826,3.125,3.125,3.125
NA,NA,NA,NA,NA
8.7378640776699,32.5842696629214,7.8125,7.8125,9.375
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
3.26086956521739,24,12.5,14.0625,6.25
NA,NA,NA,NA,NA
1.11111111111111,4.90196078431373,0,6.25,0
3.19148936170213,10.2040816326531,4.6875,6.25,10.9375
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
2,2.17391304347826,4.6875,6.25,1.5625
0,1.96078431372549,0,1.5625,0
NA,NA,NA,NA,NA
1.06382978723404,10.2040816326531,6.25,6.25,6.25
NA,NA,NA,NA,NA
0,0,0,0,0
NA,NA,NA,NA,NA
4.21052631578948,0,3.125,1.5625,3.125
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
0,6.12244897959183,4.6875,3.125,7.8125
NA,NA,NA,NA,NA
0,0.980392156862742,6.25,0,0
0,12.0879120879121,23.4375,40.625,37.5
4.21052631578948,11.340206185567,4.6875,14.0625,6.25
2.9126213592233,6.74157303370787,4.6875,6.25,3.125
NA,NA,NA,NA,NA
