"congruent","incongruent","negative","neutral","positive"
117.792996724422,240.237859871479,187.390598856039,187.025043641627,186.510940163577
196.175903690347,172.122563146689,169.908249087674,162.60041208194,225.262640809862
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
191.239391403971,208.840767796296,234.875295648326,199.489939252824,267.456452516286
194.421437050202,223.501392207504,208.3029348022,202.728514434876,169.082029556349
NA,NA,NA,NA,NA
226.476531016182,210.900533928361,214.157323105114,173.908950456846,200.736364052723
NA,NA,NA,NA,NA
152.943811135163,225.043988404103,184.065748958094,155.55640610475,140.999326469792
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
164.180752792856,200.019567082773,251.957741057282,167.010964268386,258.140829496435
206.809646275095,263.591057538064,265.382615368231,267.053224289044,221.652729601245
105.035741974809,198.499110696993,130.62179430127,157.408395486994,167.114229419889
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
387.195383690864,661.900402520759,539.522474045336,NA,143.250363583017
NA,NA,NA,NA,NA
