participant,sex,age,rumination,bsri,standard_first,emotion_first,end,INFOSCREEN,CLIENT_start,TIME_start,TIME_end,TIME_total
s.2f55027e-a5dd-49a1-aa02-b240e22862ba.txt,7160,7160,"",63179,"","","",0,2024-02-19-18-30,2024-03-19-17-30,2024-03-19-17-50,20,1
s.d61ca18d-19d9-44c0-8218-0507a97e5106.txt,7437,7437,113794,57820,"","","",0,2024-02-19-11-31,2024-03-19-17-31,2024-03-19-17-49,18,1
s.4f2fce56-ec68-496f-a066-86453d4489c3.txt,15280,15280,212281,57532,"","","",0,2024-02-19-19-31,2024-03-19-17-31,2024-03-19-17-55,24,1
s.b00ac365-c0d3-4e20-aaad-7c17cd7c8e4b.txt,12327,12327,220033,93981,"","","",0,2024-02-19-19-34,2024-03-19-17-34,2024-03-19-17-57,23,1
s.69434b44-d828-4dc1-a0d6-1c343d2c34a1.txt,17288,17288,251408,145360,"","","",0,2024-02-19-17-54,2024-03-19-17-54,2024-03-19-18-17,23,1
s.b0654bfb-3f7e-4fe1-b758-9c25d49ade06.txt,4246,4246,30314,23056,"","","",0,2024-02-19-12-59,2024-03-19-18-59,"","",2
s.142c1f48-34c0-4564-a917-c55d44b9aaa1.txt,6131,6131,92950,52137,"","","",0,2024-02-19-20-59,2024-03-19-18-59,2024-03-19-19-17,18,1
s.518a96fd-fd18-439d-925f-770c03c8eb91.txt,7037,7037,111539,68118,"","","",0,2024-02-19-20-59,2024-03-19-18-59,2024-03-19-19-19,20,2
s.f3d7510b-207c-4775-824a-dd20867426f6.txt,4475,4475,90112,24971,"","","",0,2024-02-19-19-59,2024-03-19-18-59,2024-03-19-19-15,16,2
s.c18886bc-b19a-4bb0-8548-f317a1272093.txt,6443,6443,62294,27750,"","","",0,2024-02-19-19-59,2024-03-19-18-59,2024-03-19-19-15,16,1
s.6a6c9c06-07a9-4438-bf25-2b93b3d6df0e.txt,6492,6492,92925,120904,"","","",0,2024-02-19-18-59,2024-03-19-18-59,2024-03-19-19-20,21,1
s.30d9dc94-c5e8-4957-9c08-d10916a53685.txt,17533,17533,135994,66470,"","","",0,2024-02-19-19-59,2024-03-19-18-59,2024-03-19-19-18,19,2
s.49cb85b0-c57a-4e69-aa88-39548f439657.txt,11386,11386,103143,38970,"","","",0,2024-02-19-19-00,2024-03-19-19-00,2024-03-19-19-18,18,2
s.e905851f-12b4-4126-a72e-bb0d4bf541bd.txt,4623,4623,106300,40340,"","","",0,2024-02-19-20-00,2024-03-19-19-00,2024-03-19-19-17,17,1
s.fa53245d-e1f3-40b2-a95e-8bed3500518a.txt,17025,17025,486304,126064,"","","",0,2024-02-19-21-00,2024-03-19-19-00,2024-03-19-19-55,55,2
s.c07ee91d-ba0f-49bc-86be-e0642139367d.txt,6540,6540,49274,24630,"","","",0,2024-02-19-20-00,2024-03-19-19-00,2024-03-19-19-15,15,2
s.5c2c006c-bbf0-4e1b-be2c-6e52dddb70b2.txt,4012,4012,84108,30674,"","","",0,2024-02-19-20-00,2024-03-19-19-00,2024-03-19-19-18,18,2
s.7db2ba86-af44-40da-bcd2-bf8bd7a2a855.txt,11294,11294,1145912,101476,"","","",0,2024-02-19-19-00,2024-03-19-19-00,2024-03-19-19-41,41,1
s.6d5e5704-7ce9-453f-bceb-e04a03f3b31e.txt,4885,4885,135016,67147,"","","",0,2024-02-19-19-01,2024-03-19-19-01,2024-03-19-19-19,18,1
